knum	threshold	score_type	profile_type	F-measure	nseq	nseq_used	alen	mlen	eff_nseq	re/pos	definition
K00041	287.03	full	all	0.995959	1269	1112	1273	590	2.49	0.590	tagaturonate reductase [EC:1.1.1.58]
K00042	384.70	domain	all	0.769768	2404	1935	1184	526	3.65	0.590	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]
K00043	441.07	full	all	0.988789	361	316	583	376	1.76	0.590	4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]
K00044	399.60	domain	all	0.956631	321	310	1233	400	2.21	0.590	17beta-estradiol 17-dehydrogenase [EC:1.1.1.62]
K00045	642.17	full	all	0.932742	1056	977	1174	628	2.61	0.590	mannitol 2-dehydrogenase [EC:1.1.1.67]
K00046	310.77	domain	trim	0.915803	1783	1454	785	270	2.39	0.590	gluconate 5-dehydrogenase [EC:1.1.1.69]
K00048	545.77	full	all	0.994987	566	401	491	383	1.09	0.589	lactaldehyde reductase [EC:1.1.1.77]
K00049	430.33	full	all	0.901911	1022	991	2247	441	3.30	0.590	glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
K00051	657.80	full	all	0.996491	161	142	700	438	0.69	0.591	malate dehydrogenase (NADP+) [EC:1.1.1.82]
K00052	433.53	domain	all	0.932410	7728	6669	2468	567	5.05	0.590	3-isopropylmalate dehydrogenase [EC:1.1.1.85]
K00053	127.67	full	all	0.999510	7656	6121	2372	618	4.57	0.590	ketol-acid reductoisomerase [EC:1.1.1.86]
K00054	273.17	full	trim	0.994432	1369	1163	1679	975	3.71	0.590	hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]
K00055	380.83	domain	all	0.990266	955	879	966	380	1.65	0.591	aryl-alcohol dehydrogenase [EC:1.1.1.90]
K00057	279.07	full	all	0.941200	8007	6527	2325	557	6.38	0.590	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]
K00058	328.70	full	all	0.761082	12377	10745	5617	599	8.52	0.590	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]
K00059	268.13	full	all	0.457181	35033	30501	7261	389	16.26	0.590	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
K00060	344.17	domain	all	0.980538	2256	1746	978	392	2.89	0.590	threonine 3-dehydrogenase [EC:1.1.1.103]
K00061	505.80	domain	all	0.951219	337	312	1000	401	2.00	0.590	11-cis-retinol dehydrogenase [EC:1.1.1.315]
K00062	328.53	full	all	0.951340	89	88	778	353	1.46	0.590	D-arabinose 1-dehydrogenase [EC:1.1.1.116]
K00063	433.57	domain	all	1.000000	36	35	383	318	0.80	0.592	D-arabinose 1-dehydrogenase [EC:1.1.1.117]
K00064	261.23	full	all	0.965396	1637	1523	1697	481	5.06	0.590	D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]
K00065	326.70	domain	all	0.932993	2432	1969	952	358	3.28	0.590	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]
K00066	483.90	full	all	0.991344	465	409	689	437	1.53	0.590	GDP-mannose 6-dehydrogenase [EC:1.1.1.132]
K00067	299.13	full	all	0.826392	6628	5992	3539	482	10.57	0.590	dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]
K00068	283.53	domain	all	0.993789	826	487	596	285	1.76	0.590	sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]
K00069	219.97	domain	all	0.931008	1605	1503	2408	470	7.43	0.590	15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]
K00070	401.53	full	all	0.908857	611	586	1671	595	4.00	0.590	3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]
K00071	429.23	domain	all	0.968741	364	343	1470	485	1.54	0.591	corticosteroid 11-beta-dehydrogenase isozyme 2 [EC:1.1.1.-]
K00072	197.90	full	all	0.965802	792	752	1193	363	4.98	0.590	sepiapterin reductase [EC:1.1.1.153]
K00073	370.13	full	all	0.928912	503	364	511	348	2.17	0.590	ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]
K00074	409.90	domain	all	0.768758	7896	7112	4511	516	9.48	0.590	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]
K00075	76.63	full	all	0.994604	7799	6636	3830	526	8.51	0.590	UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
K00076	270.60	domain	all	0.850500	1032	761	719	334	3.67	0.590	7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]
K00077	80.67	full	all	0.988270	8038	6963	4607	428	17.61	0.590	2-dehydropantoate 2-reductase [EC:1.1.1.169]
K00078	274.13	full	all	0.964688	938	906	3001	485	4.05	0.590	dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]
K00079	321.60	domain	all	0.754680	1772	1702	2584	397	5.64	0.590	carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197]
K00081	439.07	domain	all	0.946434	112	107	715	303	1.09	0.590	carbonyl reductase 2 [EC:1.1.1.184]
K00082	350.83	full	all	1.000000	15	7	222	207	0.52	0.592	5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]
K00083	569.30	domain	trim	0.637123	927	864	965	464	1.57	0.590	cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]
K00084	466.63	domain	all	0.678299	221	209	692	399	2.44	0.590	carbonyl reductase 3 [EC:1.1.1.184]
K00085	666.53	full	all	1.000000	8	8	310	310	0.43	0.590	aldose-6-phosphate reductase (NADPH2) [EC:1.1.1.200]
K00086	627.70	full	all	0.946503	166	120	451	386	1.36	0.589	1,3-propanediol dehydrogenase [EC:1.1.1.202]
K00087	872.50	domain	trim	0.728128	377	257	1498	740	4.67	0.590	xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]
K00088	370.83	full	all	0.920010	10752	8821	5364	970	5.28	0.590	IMP dehydrogenase [EC:1.1.1.205]
K00089	737.93	full	all	0.666667	6	5	344	323	0.42	0.586	3alpha-hydroxysteroid 3-dehydrogenase [EC:1.1.1.213 1.1.1.357]
K00090	433.97	domain	trim	0.806900	1568	1208	526	325	1.43	0.589	glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]
K00091	334.20	full	all	0.968900	505	432	661	332	2.41	0.590	dihydroflavonol-4-reductase [EC:1.1.1.219]
K00093	549.37	domain	all	0.667066	3	3	389	381	0.59	0.592	methanol dehydrogenase [EC:1.1.1.244]
K00094	479.60	full	all	0.976915	213	111	386	347	0.78	0.589	galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]
K00095	747.43	domain	all	0.650794	4	4	365	360	0.44	0.592	mannitol dehydrogenase [EC:1.1.1.255]
K00096	149.67	domain	all	0.997257	1241	1098	1407	512	5.35	0.590	glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]
K00097	418.17	domain	all	0.845701	3772	3270	2134	475	3.85	0.590	4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]
K00098	352.97	domain	all	0.990262	965	833	717	348	1.66	0.590	L-idonate 5-dehydrogenase [EC:1.1.1.264]
K00099	221.23	full	all	1.000000	6700	5758	2417	534	2.99	0.590	1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]
K00100	565.83	full	all	0.946271	100	89	470	387	1.20	0.590	butanol dehydrogenase [EC:1.1.1.-]
K00101	474.30	domain	all	0.531499	3812	3189	4126	678	4.99	0.590	L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]
K00102	523.50	full	all	0.951050	2579	2388	6551	642	4.74	0.590	D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]
K00103	384.70	full	all	0.902887	1068	1021	3466	557	5.71	0.590	L-gulonolactone oxidase [EC:1.1.3.8]
K00104	530.17	full	all	0.914328	4435	3947	3486	685	7.10	0.590	glycolate dehydrogenase FAD-linked subunit [EC:1.1.99.14]
K00105	830.97	full	all	0.959353	253	200	977	609	1.03	0.589	alpha-glycerophosphate oxidase [EC:1.1.3.21]
K00106	1594.83	full	all	0.814495	1868	1852	11606	1517	2.68	0.590	xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]
K00107	463.93	full	trim	0.978355	118	112	949	518	0.98	0.589	D-arabinono-1,4-lactone oxidase [EC:1.1.3.37]
K00108	746.77	full	all	0.956804	2485	2137	4590	778	3.31	0.590	choline dehydrogenase [EC:1.1.99.1]
K00109	451.77	full	all	0.939568	879	850	2089	625	3.30	0.590	2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]
K00111	148.70	full	all	0.925775	9300	8127	7969	634	8.20	0.590	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]
K00112	119.17	full	all	0.993218	855	659	988	453	4.38	0.590	glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]
K00113	279.73	full	all	0.995879	1098	853	1348	607	3.62	0.590	glycerol-3-phosphate dehydrogenase subunit C
K00114	660.83	full	all	0.779537	906	817	2500	748	6.45	0.590	alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]
K00115	734.70	domain	all	0.944436	658	638	2693	800	2.47	0.590	glucose 1-dehydrogenase (FAD, quinone) [EC:1.1.5.9]
K00116	264.27	full	trim	0.999638	3323	2765	1238	588	2.66	0.590	malate dehydrogenase (quinone) [EC:1.1.5.4]
K00117	780.83	full	trim	0.718746	2005	1736	4030	731	6.35	0.590	quinoprotein glucose dehydrogenase [EC:1.1.5.2]
K00118	340.87	full	all	0.935655	240	215	823	380	3.66	0.590	glucose-fructose oxidoreductase [EC:1.1.99.28]
K00119	541.53	full	all	0.972437	194	149	574	370	1.10	0.591	alcohol dehydrogenase (nicotinoprotein) [EC:1.1.99.36]
K00120	441.23	full	all	0.988506	77	46	817	379	0.92	0.591	F420-dependent hydroxymycolic acid dehydrogenase [EC:1.1.98.-]
K00121	625.63	full	all	0.706050	7021	5995	3417	555	4.74	0.590	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
K00122	250.17	domain	trim	0.989915	804	699	1975	490	2.38	0.590	formate dehydrogenase [EC:1.17.1.9]
K00123	853.13	full	all	0.660293	5669	4759	5964	945	6.44	0.590	formate dehydrogenase major subunit [EC:1.17.1.9]
K00124	167.93	domain	trim	0.654649	3813	3098	2703	331	5.68	0.590	formate dehydrogenase iron-sulfur subunit
K00125	198.60	full	all	1.000000	290	264	599	382	3.11	0.590	formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]
K00126	51.13	domain	trim	0.999313	865	728	268	128	5.53	0.590	formate dehydrogenase subunit delta [EC:1.17.1.9]
K00127	87.47	full	trim	0.705493	3170	2534	1712	308	12.52	0.590	formate dehydrogenase subunit gamma
K00128	574.67	full	all	0.282696	14476	13330	9779	604	8.32	0.590	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00129	761.80	full	all	0.631368	1033	1004	4323	549	2.54	0.590	aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]
K00130	673.63	domain	all	0.692426	4679	4169	2611	594	3.83	0.590	betaine-aldehyde dehydrogenase [EC:1.2.1.8]
K00131	501.13	domain	all	0.992810	1233	1050	1120	510	1.98	0.590	glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]
K00132	657.87	full	trim	0.940047	453	383	765	491	1.53	0.591	acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]
K00133	224.00	full	all	0.994595	9037	7528	2484	656	6.16	0.590	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
K00134	413.40	full	all	0.760508	13690	11198	5471	468	5.85	0.590	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]
K00135	587.80	domain	all	0.665617	11419	10153	4283	746	5.20	0.590	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
K00137	684.77	domain	trim	0.971224	947	754	607	475	0.95	0.590	aminobutyraldehyde dehydrogenase [EC:1.2.1.19]
K00138	752.43	domain	all	0.981928	3519	2914	1250	979	1.71	0.590	aldehyde dehydrogenase [EC:1.2.1.-]
K00139	818.83	full	all	0.820990	645	628	1768	642	1.74	0.589	succinate-semialdehyde dehydrogenase [EC:1.2.1.24]
K00140	497.60	domain	all	0.996601	6894	6051	5166	712	2.56	0.590	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]
K00141	650.60	domain	all	0.888646	731	642	679	487	1.52	0.589	benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]
K00142	427.77	domain	all	0.991453	712	707	6581	1094	4.58	0.590	acyl-CoA synthetase [EC:6.2.1.-]
K00143	940.27	domain	all	0.996764	158	155	3004	1549	1.40	0.590	L-2-aminoadipate reductase [EC:1.2.1.95]
K00145	125.77	full	all	0.902791	6966	6099	1976	412	3.68	0.590	N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]
K00146	684.60	domain	all	0.493137	1355	1107	888	499	1.95	0.589	phenylacetaldehyde dehydrogenase [EC:1.2.1.39]
K00147	546.53	full	all	0.958632	6861	6042	2185	628	3.95	0.590	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]
K00148	405.20	full	all	0.993469	1285	1070	767	389	1.07	0.589	glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]
K00149	744.17	domain	trim	0.970602	559	542	1520	574	1.06	0.591	aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3]
K00150	310.00	full	all	0.864044	1218	1016	686	345	3.81	0.590	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]
K00151	721.43	domain	all	0.979140	1127	881	730	497	1.27	0.591	5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
K00152	1091.27	full	all	1.000000	10	8	483	483	0.42	0.592	salicylaldehyde dehydrogenase [EC:1.2.1.65]
K00153	397.13	domain	all	0.993877	990	901	1055	408	1.25	0.591	S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306]
K00154	561.67	domain	all	0.960555	1740	1556	1191	489	1.81	0.590	coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]
K00155	1151.03	domain	all	0.932692	21	21	1172	1032	0.98	0.590	L-tyrosine reductase [EC:1.2.1.101]
K00156	708.67	full	trim	0.949827	2898	2505	2225	820	3.18	0.590	pyruvate dehydrogenase (quinone) [EC:1.2.5.1]
K00157	2138.60	full	all	0.947747	725	724	7150	1535	1.38	0.590	aldehyde oxidase [EC:1.2.3.1]
K00158	616.50	full	trim	0.946108	835	645	1024	575	2.14	0.591	pyruvate oxidase [EC:1.2.3.3]
K00161	431.67	full	all	0.791810	5549	4647	3920	548	5.13	0.590	pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]
K00162	489.40	full	all	0.804397	5144	4293	2199	444	2.51	0.591	pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]
K00163	304.83	full	all	1.000000	4767	4047	3006	1014	2.57	0.590	pyruvate dehydrogenase E1 component [EC:1.2.4.1]
K00164	1224.13	domain	all	0.888534	6391	5476	7114	1065	2.17	0.590	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
K00166	416.83	full	all	0.772012	4619	4057	3891	560	3.89	0.590	2-oxoisovalerate dehydrogenase E1 component subunit alpha [EC:1.2.4.4]
K00167	480.60	full	all	0.803895	4510	3815	3398	565	2.61	0.590	2-oxoisovalerate dehydrogenase E1 component subunit beta [EC:1.2.4.4]
K00169	299.60	domain	all	0.875585	1150	1027	1476	437	2.90	0.590	pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]
K00170	316.27	full	all	0.811444	1069	909	1013	318	2.63	0.590	pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
K00171	98.43	domain	trim	0.808157	790	612	372	132	3.10	0.590	pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]
K00172	151.00	domain	trim	0.857896	960	823	913	321	5.22	0.590	pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]
K00174	262.20	full	all	0.918510	3513	3158	1897	643	4.54	0.590	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]
K00175	236.17	domain	all	0.932240	3566	3107	1680	504	5.27	0.590	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]
K00176	67.70	domain	all	0.961232	1208	1003	416	142	3.79	0.590	2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]
K00177	148.17	full	all	0.895568	1273	1107	623	218	4.06	0.590	2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]
K00179	479.20	full	trim	0.988474	1339	1273	2964	677	3.47	0.590	indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]
K00180	139.33	full	trim	0.971489	1284	964	920	282	5.20	0.590	indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]
K00181	209.13	full	all	0.999152	632	592	3442	802	2.90	0.590	O-palmitoleoyl transferase [EC:2.3.1.250]
K00182	487.63	domain	trim	0.965940	899	744	1324	475	2.44	0.590	wingless-type MMTV integration site family, member 2
K00184	244.90	domain	all	0.973371	108	95	460	223	1.05	0.589	dimethyl sulfoxide reductase iron-sulfur subunit
K00185	312.30	full	all	1.000000	92	81	555	395	1.44	0.590	dimethyl sulfoxide reductase membrane subunit
K00186	472.97	full	trim	0.872148	167	146	508	389	1.70	0.590	2-oxoisovalerate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.7]
K00187	536.77	full	all	0.763671	143	132	619	479	1.43	0.590	2-oxoisovalerate ferredoxin oxidoreductase beta subunit [EC:1.2.7.7]
K00188	88.57	domain	all	0.922279	123	102	183	98	1.25	0.590	2-oxoisovalerate ferredoxin oxidoreductase delta subunit [EC:1.2.7.7]
K00189	301.10	full	trim	0.837903	56	52	218	185	1.04	0.590	2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.7 1.2.7.1]
K00192	698.30	full	all	1.000000	131	118	936	779	1.00	0.590	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha [EC:1.2.7.4]
K00193	607.90	full	all	0.960624	136	122	907	457	1.15	0.589	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta [EC:2.3.1.169]
K00194	272.70	full	trim	0.955201	242	187	596	376	1.53	0.590	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245]
K00195	98.97	full	all	0.990610	129	107	234	172	2.74	0.590	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon
K00196	151.27	domain	trim	0.559627	636	556	729	208	3.13	0.590	anaerobic carbon-monoxide dehydrogenase iron sulfur subunit
K00197	292.77	full	all	1.000000	256	221	874	451	1.29	0.591	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245]
K00198	450.07	full	all	0.999087	595	549	1482	663	2.18	0.590	anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]
K00200	410.00	full	all	1.000000	423	399	949	551	1.63	0.591	formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]
K00201	176.00	full	all	0.998878	492	445	1116	460	4.66	0.590	formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]
K00202	184.50	full	all	1.000000	414	387	791	420	3.50	0.590	formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]
K00203	121.97	domain	trim	0.924046	238	186	242	133	3.12	0.590	formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12]
K00204	171.57	domain	all	0.988506	56	47	210	155	1.06	0.589	4Fe-4S ferredoxin
K00205	175.53	domain	all	0.973447	209	177	745	422	1.96	0.590	4Fe-4S ferredoxin
K00206	634.37	domain	all	0.998073	321	261	563	483	0.94	0.590	phosphonoacetaldehyde dehydrogenase [EC:1.2.1.-]
K00207	406.30	domain	all	0.985373	815	792	2940	1110	1.67	0.591	dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2]
K00208	275.97	full	all	0.960124	6005	4666	1459	423	3.68	0.590	enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
K00209	138.30	full	all	0.999598	1459	1246	1281	402	2.36	0.591	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]
K00211	414.73	full	all	0.991549	178	176	1336	475	0.96	0.591	prephenate dehydrogenase (NADP+) [EC:1.3.1.13]
K00212	645.63	domain	all	0.648119	68	67	704	323	0.68	0.589	20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase [EC:1.1.1.149 1.1.1.357 1.3.1.20]
K00213	419.57	full	all	0.974751	736	712	1666	579	3.02	0.590	7-dehydrocholesterol reductase [EC:1.3.1.21]
K00214	143.17	full	all	0.995820	515	478	1102	372	2.72	0.590	biliverdin reductase [EC:1.3.1.24]
K00215	138.93	full	all	0.985794	8267	6989	2089	402	9.15	0.590	4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]
K00216	246.47	domain	all	0.993722	1152	882	1189	280	1.67	0.591	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]
K00217	289.13	full	trim	0.966932	845	771	836	374	3.44	0.590	maleylacetate reductase [EC:1.3.1.32]
K00218	253.43	domain	trim	0.962823	580	540	1052	410	2.67	0.589	protochlorophyllide reductase [EC:1.3.1.33]
K00219	565.73	full	all	0.999775	2556	2225	2352	926	1.63	0.590	2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]
K00220	386.53	full	all	0.976331	792	714	640	316	1.58	0.590	cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12]
K00221	119.40	domain	all	0.876806	161	112	584	232	4.74	0.590	alkylmercury lyase [EC:4.99.1.2]
K00222	707.23	full	all	0.542276	698	676	1974	533	2.51	0.590	Delta14-sterol reductase [EC:1.3.1.70]
